rule,timetodeath
B1234/S815,25039.0
B1234/S814,25039.0
B1234/S817,25039.0
B1234/S816,25039.0
B1234/S813,25039.0
B1234/S812,25039.0
B12345678/S2467,25039.0
B123456/S81457,25039.0
B123456/S81456,25039.0
B1/S8456,25039.0
B1/S8457,25039.0
B123/S45,25039.0
B1234567/S81567,25039.0
B1/S135,25039.0
B1/S136,25039.0
B1/S137,25039.0
B123/S46,25039.0
B123456/S8356,25039.0
B123456/S8357,25039.0
B12/S8257,25039.0
B12/S234567,25039.0
B12/S234568,25039.0
B123456/S3467,25039.0
B12345678/S1267,25039.0
B12/S83467,25039.0
B1234567/S2347,25039.0
B1234567/S2346,25039.0
B1234567/S2345,25039.0
B12345/S8136,25039.0
B12/S23567,25039.0
B1/S257,25039.0
B1/S256,25039.0
B123456/S67,25039.0
B12345678/S1467,25039.0
B1/S1234678,25039.0
B123456/S256,25039.0
B123456/S257,25039.0
B12/S81245,25039.0
B12/S81246,25039.0
B12/S81247,25039.0
B123/S8136,25039.0
B123/S8137,25039.0
B1234/S8456,25039.0
B1234/S8457,25039.0
B123/S8134,25039.0
B1/S12346,25039.0
B1/S12347,25039.0
B123456/S234578,25039.0
B1/S81367,25039.0
B123/S367,25039.0
B12345678/S16,25039.0
B12345678/S17,25039.0
B12345678/S14,25039.0
B12345678/S15,25039.0
B12345678/S12,25039.0
B12345678/S13,25039.0
B1/S34567,25039.0
B123/S8,25039.0
B12/S82456,25039.0
B123/S3,25039.0
B123/S2,25039.0
B123/S1,25039.0
B123/S7,25039.0
B123/S6,25039.0
B123/S5,25039.0
B123/S4,25039.0
B12345678/S267,25039.0
B123/S36,25039.0
B12345/S124568,25039.0
B1234/S3567,25039.0
B12/S1467,25039.0
B12345/S124567,25039.0
B1/S81567,25039.0
B12345678/S345678,25039.0
B1234567/S1457,25039.0
B123/S82346,25039.0
B1234/S83456,25039.0
B1234/S83457,25039.0
B123/S82345,25039.0
B12345678/S12456,25039.0
B12345678/S12457,25039.0
B1234/S24567,25039.0
B1234/S2367,25039.0
B1234/S235678,25039.0
B1/S234578,25039.0
B123456/S13567,25039.0
B123/S145,25039.0
B123/S146,25039.0
B123/S147,25039.0
B1/S813,25039.0
B1/S812,25039.0
B1/S817,25039.0
B12/S82345,25039.0
B12/S82346,25039.0
B12/S82347,25039.0
B1234567/S8147,25039.0
B1234567/S8146,25039.0
B12345678/S134678,25039.0
B1234/S2567,25039.0
B123/S1256,25039.0
B123/S1257,25039.0
B123/S8345,25039.0
B123/S8347,25039.0
B123/S8346,25039.0
B12345/S2345,25039.0
B12345/S2346,25039.0
B12345/S2347,25039.0
B1234/S12367,25039.0
B1234567/S45,25039.0
B1234567/S46,25039.0
B1234567/S47,25039.0
B123456/S12567,25039.0
B123/S1245678,25039.0
B12345678/S1457,25039.0
B1234/S81367,25039.0
B1234567/S8457,25039.0
B1234567/S8456,25039.0
B1234567/S827,25039.0
B1234567/S826,25039.0
B1234567/S825,25039.0
B1234567/S824,25039.0
B1234567/S823,25039.0
B123/S81237,25039.0
B123/S81236,25039.0
B123/S81235,25039.0
B123/S81234,25039.0
B1/S8145,25039.0
B12345678/S123678,25039.0
B1/S8147,25039.0
B123456/S1345,25039.0
B123456/S1346,25039.0
B123456/S1347,25039.0
B123/S1235678,25039.0
B1234/S823,25039.0
B1234/S824,25039.0
B1234/S825,25039.0
B1234/S826,25039.0
B1234/S827,25039.0
B12/S13467,25039.0
B123456/S81467,25039.0
B123/S8167,25039.0
B123/S81347,25039.0
B123/S81346,25039.0
B123/S81345,25039.0
B12/S8245,25039.0
B12345/S82467,25039.0
B1/S8567,25039.0
B12345678/S1257,25039.0
B12345678/S1256,25039.0
B12/S1357,25039.0
B123/S81567,25039.0
B12/S1356,25039.0
B1/S246,25039.0
B1/S247,25039.0
B1/S245,25039.0
B123/S145678,25039.0
B123/S23457,25039.0
B123/S23456,25039.0
B123456/S57,25039.0
B123456/S56,25039.0
B1/S145678,25039.0
B123/S82456,25039.0
B1234/S2345678,25039.0
B1234/S8267,25039.0
B1/S12367,25039.0
B12/S124578,25039.0
B123456/S81245,25039.0
B123456/S81246,25039.0
B123456/S81247,25039.0
B1/S12567,25039.0
B12345/S12345678,25039.0
B123456/S12367,25039.0
B12/S81257,25039.0
B12/S81256,25039.0
B123456/S245,25039.0
B123456/S247,25039.0
B123456/S246,25039.0
B1/S123578,25039.0
B1234/S8467,25039.0
B1234/S245678,25039.0
B12345678/S8357,25039.0
B12345678/S8356,25039.0
B12/S8457,25039.0
B12345678/S827,25039.0
B12/S8456,25039.0
B123456/S234568,25039.0
B123456/S134678,25039.0
B123456/S82345,25039.0
B123456/S82346,25039.0
B123456/S82347,25039.0
B123456/S1234678,25039.0
B123456/S234567,25039.0
B12345678/S23,25039.0
B12345678/S27,25039.0
B12345678/S26,25039.0
B12345678/S25,25039.0
B12345678/S24,25039.0
B123/S12457,25039.0
B123/S12456,25039.0
B12/S2356,25039.0
B12/S2357,25039.0
B123456/S1235678,25039.0
B123/S34567,25039.0
B12345/S135678,25039.0
B123/S83467,25039.0
B12345/S24567,25039.0
B1234567/S12347,25039.0
B1234567/S12346,25039.0
B1234567/S12345,25039.0
B1234/S2357,25039.0
B1234/S2356,25039.0
B1234567/S12567,25039.0
B12/S8147,25039.0
B1/S234567,25039.0
B1/S234568,25039.0
B12/S8146,25039.0
B123/S135,25039.0
B123/S134,25039.0
B123/S137,25039.0
B123/S136,25039.0
B1234567/S83567,25039.0
B12/S82357,25039.0
B12/S82356,25039.0
B1234567/S8136,25039.0
B1234567/S8137,25039.0
B1234567/S8134,25039.0
B1234567/S8135,25039.0
B12345/S1235678,25039.0
B1234567/S8267,25039.0
B1234567/S13567,25039.0
B12345/S2357,25039.0
B12345/S2356,25039.0
B1/S123478,25039.0
B123/S13467,25039.0
B1234567/S57,25039.0
B1234567/S56,25039.0
B12345/S234578,25039.0
B12345/S14567,25039.0
B1234/S123456,25039.0
B1234/S123457,25039.0
B1234567/S82367,25039.0
B1234/S123458,25039.0
B123456/S1245,25039.0
B123456/S1247,25039.0
B123456/S1246,25039.0
B1/S1567,25039.0
B12/S84567,25039.0
B1234567/S8467,25039.0
B123456/S81235,25039.0
B1234567/S1245678,25039.0
B1234567/S834,25039.0
B1234567/S835,25039.0
B1234567/S836,25039.0
B123456/S81234,25039.0
B1/S82457,25039.0
B12345/S81,25039.0
B1/S8157,25039.0
B1/S8156,25039.0
B123456/S23567,25039.0
B123/S1247,25039.0
B123/S1246,25039.0
B123/S1245,25039.0
B1234/S837,25039.0
B1234/S836,25039.0
B1234/S835,25039.0
B1234/S834,25039.0
B123/S245678,25039.0
B1234/S84567,25039.0
B123456/S123568,25039.0
B1/S1367,25039.0
B123/S8156,25039.0
B123/S8157,25039.0
B12345/S83467,25039.0
B123/S81356,25039.0
B123/S81357,25039.0
B1234567/S837,25039.0
B123456/S2467,25039.0
B1234567/S34567,25039.0
B12345678/S1247,25039.0
B12345678/S1245,25039.0
B1234567/S1234678,25039.0
B12/S8134,25039.0
B1/S237,25039.0
B1/S236,25039.0
B1/S235,25039.0
B12/S8135,25039.0
B1234/S125678,25039.0
B123456/S1467,25039.0
B123/S1234678,25039.0
B1/S82456,25039.0
B12/S8137,25039.0
B123456/S46,25039.0
B123456/S47,25039.0
B123456/S45,25039.0
B1234/S4567,25039.0
B12345/S1245678,25039.0
B123/S8367,25039.0
B123456/S81257,25039.0
B123456/S81256,25039.0
B12/S124568,25039.0
B1/S347,25039.0
B1234567/S1235678,25039.0
B1/S345,25039.0
B12/S124567,25039.0
B12345678/S24567,25039.0
B12345/S145678,25039.0
B1/S134678,25039.0
B1234567/S123457,25039.0
B1234567/S123456,25039.0
B123/S86,25039.0
B123/S87,25039.0
B123/S81,25039.0
B1234567/S124678,25039.0
B123/S83,25039.0
B1234/S1457,25039.0
B1234/S1456,25039.0
B1/S345678,25039.0
B1234567/S123458,25039.0
B1234567/S82567,25039.0
B12/S245,25039.0
B12345678/S8345,25039.0
B12345678/S8346,25039.0
B12345678/S8347,25039.0
B12345678/S23467,25039.0
B12345/S1457,25039.0
B12345/S1456,25039.0
B1/S2456,25039.0
B1/S2457,25039.0
B12345678/S8167,25039.0
B12345678/S34,25039.0
B12345678/S35,25039.0
B12345678/S36,25039.0
B12345678/S37,25039.0
B1234/S124678,25039.0
B123456/S345,25039.0
B123456/S346,25039.0
B123456/S347,25039.0
B12/S2367,25039.0
B1/S567,25039.0
B12345678/S245,25039.0
B12345678/S246,25039.0
B12345678/S247,25039.0
B1234567/S357,25039.0
B1234567/S356,25039.0
B1/S8236,25039.0
B1/S8237,25039.0
B1/S8234,25039.0
B1/S8235,25039.0
B1234567/S23457,25039.0
B1234567/S23456,25039.0
B12345/S81357,25039.0
B12345/S81356,25039.0
B1/S81236,25039.0
B1/S81237,25039.0
B1/S81234,25039.0
B1/S81235,25039.0
B123/S2457,25039.0
B123/S2456,25039.0
B123/S236,25039.0
B123/S237,25039.0
B123/S234,25039.0
B123/S235,25039.0
B1234567/S4567,25039.0
B1234567/S12356,25039.0
B1234567/S12357,25039.0
B12345678/S135678,25039.0
B123456/S82357,25039.0
B123456/S82356,25039.0
B1234/S2346,25039.0
B1234/S2347,25039.0
B1234/S2345,25039.0
B1234/S16,25039.0
B1234/S17,25039.0
B1234/S14,25039.0
B1234/S15,25039.0
B1234/S12,25039.0
B1234/S13,25039.0
B123/S126,25039.0
B123/S127,25039.0
B123/S124,25039.0
B123/S125,25039.0
B123/S123,25039.0
B1/S23456,25039.0
B1/S23457,25039.0
B12/S2,25039.0
B1234/S234678,25039.0
B1/S835,25039.0
B1/S834,25039.0
B1234567/S8123,25039.0
B1/S836,25039.0
B1234567/S8125,25039.0
B1234567/S8124,25039.0
B1234567/S8127,25039.0
B1234567/S8126,25039.0
B12/S12345678,25039.0
B12/S7,25039.0
